pair,pairs_removed,total,proportion,n removed,worker_ids
round-pizza,0,11,0.0,0,
red-echinocereus,3,11,0.2727272727272727,3,5adf7fbc09eae200011305a5 5d228245d741d4001aa43eef 5e66856ab10742406840291a
round-basketball,0,11,0.0,0,
round-planet,0,11,0.0,0,
red-melon,2,11,0.18181818181818182,2,5adf7fbc09eae200011305a5 5e66856ab10742406840291a
roll-cloth,0,11,0.0,0,
red-pepper,1,11,0.09090909090909091,1,5d228245d741d4001aa43eef
roll-surfboard,0,11,0.0,0,
round-lolly,3,11,0.2727272727272727,3,5adf7fbc09eae200011305a5 5b222aff59f9620001c109cb 5d36d1001d6ff70001f0f374
roll-fusee,0,11,0.0,0,
_check2-_check2,0,11,0.0,0,
_test2-_test2,0,11,0.0,0,
