annotations_with_contradiction,average_time_pair,contradiction_annotation_ratio,contradiction_poss_contradiction_ratio,n_annotations,n_contradictions,n_possible_contradictions,n_workers,n_workers_contradicting,pair,ratio_workers_contradicting,workers_contradicting,workers_not_contradicting
,142.43941666666666,0.0,0.0,36,0,0,9,0,yellow-radish,0.0,,5717864c94d4fc001297198d 5b02fe323bc9af0001909bc5 5c93bd73642b0c00172314eb 5cb653e0e9187600014da063 5de62d28d82800000b7f2913 5e5d0e5cde7bcc01152b64ce 5e6b636dc8f7651146cab720 5e820827a0271f9119616fb8 5e86b01145c5ca2dfa07796a
,61.508050000000004,0.0,0.0,100,0,120,10,0,made_of_wood-pedal,0.0,,5b898d8abca3400001fa7c7b 5b9e10d4f074140001051011 5bace93b5cd4520001dc04a5 5c6158304fde3d0001474c20 5c6400cbcb937d00012d8866 5c93bd73642b0c00172314eb 5d0f8633c8ca0c00155a49c2 5d67fe2073cd1d001a611229 5d6c847ba90a23001c46f8b2 5de631043cf27959fe70269c
,111.57864000000002,0.0,0.0,100,0,150,10,0,lay_eggs-muskrat,0.0,,5d2e5d1c649703001a9c920d 5d50fbe64e3713001a005a19 5ddc622ced7ea4bb98035efe 5de90af803356502f3be9818 5e39e5d2c8aeb02094ceeefd 5e83b90c6ed65a0e95816252 5ea1ab6697b8d6074542f4a3 5ea6d2afae702d06452f2ea5 5ea858b22dc090093dfb8c74 5ea931b9af55e2000cf0bbcc
,111.57864000000002,0.0,0.0,100,0,120,10,0,sweet-taro,0.0,,5d2e5d1c649703001a9c920d 5d50fbe64e3713001a005a19 5ddc622ced7ea4bb98035efe 5de90af803356502f3be9818 5e39e5d2c8aeb02094ceeefd 5e83b90c6ed65a0e95816252 5ea1ab6697b8d6074542f4a3 5ea6d2afae702d06452f2ea5 5ea858b22dc090093dfb8c74 5ea931b9af55e2000cf0bbcc
,111.57864000000002,0.0,0.0,100,0,120,10,0,square-fireplace,0.0,,5d2e5d1c649703001a9c920d 5d50fbe64e3713001a005a19 5ddc622ced7ea4bb98035efe 5de90af803356502f3be9818 5e39e5d2c8aeb02094ceeefd 5e83b90c6ed65a0e95816252 5ea1ab6697b8d6074542f4a3 5ea6d2afae702d06452f2ea5 5ea858b22dc090093dfb8c74 5ea931b9af55e2000cf0bbcc
,61.508050000000004,0.0,0.0,100,0,120,10,0,dangerous-marlinspike,0.0,,5b898d8abca3400001fa7c7b 5b9e10d4f074140001051011 5bace93b5cd4520001dc04a5 5c6158304fde3d0001474c20 5c6400cbcb937d00012d8866 5c93bd73642b0c00172314eb 5d0f8633c8ca0c00155a49c2 5d67fe2073cd1d001a611229 5d6c847ba90a23001c46f8b2 5de631043cf27959fe70269c
,61.508050000000004,0.0,0.0,100,0,120,10,0,sweet-cookie,0.0,,5b898d8abca3400001fa7c7b 5b9e10d4f074140001051011 5bace93b5cd4520001dc04a5 5c6158304fde3d0001474c20 5c6400cbcb937d00012d8866 5c93bd73642b0c00172314eb 5d0f8633c8ca0c00155a49c2 5d67fe2073cd1d001a611229 5d6c847ba90a23001c46f8b2 5de631043cf27959fe70269c
,61.508050000000004,0.0,0.0,100,0,120,10,0,square-sharpener,0.0,,5b898d8abca3400001fa7c7b 5b9e10d4f074140001051011 5bace93b5cd4520001dc04a5 5c6158304fde3d0001474c20 5c6400cbcb937d00012d8866 5c93bd73642b0c00172314eb 5d0f8633c8ca0c00155a49c2 5d67fe2073cd1d001a611229 5d6c847ba90a23001c46f8b2 5de631043cf27959fe70269c
,61.508050000000004,0.0,0.0,100,0,120,10,0,hot-percolator,0.0,,5b898d8abca3400001fa7c7b 5b9e10d4f074140001051011 5bace93b5cd4520001dc04a5 5c6158304fde3d0001474c20 5c6400cbcb937d00012d8866 5c93bd73642b0c00172314eb 5d0f8633c8ca0c00155a49c2 5d67fe2073cd1d001a611229 5d6c847ba90a23001c46f8b2 5de631043cf27959fe70269c
,61.508050000000004,0.0,0.0,100,0,120,10,0,wheels-hack,0.0,,5b898d8abca3400001fa7c7b 5b9e10d4f074140001051011 5bace93b5cd4520001dc04a5 5c6158304fde3d0001474c20 5c6400cbcb937d00012d8866 5c93bd73642b0c00172314eb 5d0f8633c8ca0c00155a49c2 5d67fe2073cd1d001a611229 5d6c847ba90a23001c46f8b2 5de631043cf27959fe70269c
,153.770125,0.0,0.0,40,0,0,10,0,fly-car,0.0,,5b898d8abca3400001fa7c7b 5b9e10d4f074140001051011 5bace93b5cd4520001dc04a5 5c6158304fde3d0001474c20 5c6400cbcb937d00012d8866 5c93bd73642b0c00172314eb 5d0f8633c8ca0c00155a49c2 5d67fe2073cd1d001a611229 5d6c847ba90a23001c46f8b2 5de631043cf27959fe70269c
