,behav.,filtering,filtering_unit,n_stdv,aggregation,relations-f1,relations-p,relations-r,alpha
61,agree,exclude_contradictory_annotations,-,-,top_vote,0.76,0.85,0.71,0.32
49,agree,contradictions,total,1,top_vote,0.76,0.83,0.71,0.28
33,agree,contradictions,batch,1,top_vote,0.76,0.83,0.71,0.26
57,agree,contradictions,total,2,top_vote,0.76,0.83,0.71,0.25
53,agree,contradictions,total,1.5,top_vote,0.76,0.83,0.71,0.26
29,agree,contradictions,batch,0.5,top_vote,0.74,0.82,0.69,0.28
15,agree,ct_wqs,pair,0.5,top_vote,0.74,0.82,0.69,0.23
31,agree,ct_wqs,batch,0.5,top_vote,0.74,0.82,0.69,0.23
17,agree,contradictions,pair,1,top_vote,0.74,0.82,0.69,0.26
37,agree,contradictions,batch,1.5,top_vote,0.74,0.82,0.69,0.25
19,agree,ct_wqs,pair,1,top_vote,0.74,0.82,0.69,0.23
27,agree,ct_wqs,pair,2,top_vote,0.74,0.82,0.69,0.23
23,agree,ct_wqs,pair,1.5,top_vote,0.74,0.82,0.69,0.23
25,agree,contradictions,pair,2,top_vote,0.74,0.82,0.69,0.24
35,agree,ct_wqs,batch,1,top_vote,0.74,0.82,0.69,0.23
47,agree,ct_wqs,total,0.5,top_vote,0.74,0.82,0.69,0.23
21,agree,contradictions,pair,1.5,top_vote,0.74,0.82,0.69,0.25
1,agree,-,-,-,top_vote,0.74,0.82,0.69,0.23
43,agree,ct_wqs,batch,2,top_vote,0.74,0.82,0.69,0.23
51,agree,ct_wqs,total,1,top_vote,0.74,0.82,0.69,0.23
41,agree,contradictions,batch,2,top_vote,0.74,0.82,0.69,0.24
55,agree,ct_wqs,total,1.5,top_vote,0.74,0.82,0.69,0.23
59,agree,ct_wqs,total,2,top_vote,0.74,0.82,0.69,0.23
39,agree,ct_wqs,batch,1.5,top_vote,0.74,0.82,0.69,0.23
13,agree,contradictions,pair,0.5,top_vote,0.73,0.85,0.67,0.28
66,disagree,-,-,-,uas-0.6,0.72,0.71,0.74,0.21
68,disagree,-,-,-,uas-0.7,0.7,0.7,0.74,0.21
67,disagree,-,-,-,uas-0.65,0.7,0.7,0.74,0.21
