concept,manual_coarse_grained,lemma,wiki_frequency,n_wn_senses,min_wn_sim_wup,poly_type,mipvu_met,wn_abs_conc
windfall,-,windfall,1105,2,0.14285714285714285,poly,oov,abs-conc
mangold,-,mangold,548,1,1.0,oov,oov,conc
capitulum,-,capitulum,213,3,0.3333333333333333,oov,oov,conc
pip,-,pip,3366,8,0.08695652173913043,homonyms_also_same_pos,oov,abs-conc
saskatoon,-,saskatoon,5883,2,0.2857142857142857,oov,oov,conc-n
chile,-,chile,46784,2,0.19047619047619047,oov,oov,conc-n
pyrene,-,pyrene,300,2,0.17391304347826086,oov,oov,abs-conc
jack,-,jack,145981,14,0.08695652173913043,poly,non-met,abs-conc
hip,-,hip,71363,6,0.21052631578947367,homonyms_also_same_pos,non-met,abs-conc
spike,-,spike,16888,17,0.09523809523809523,homonyms_also_same_pos,non-met,abs-conc
swede,-,swede,1818,3,0.18181818181818182,mon,non-met,conc
anjou,-,anjou,3976,2,0.3157894736842105,oov,oov,conc-n
blackheart,-,blackheart,345,2,0.08695652173913043,oov,oov,abs-conc
freestone,-,freestone,727,1,0.8181818181818182,mon,oov,conc
dates,-,date,84737,13,0.125,homonyms_also_same_pos,non-met,abs-conc
bacca,-,bacca,134,1,1.0,oov,oov,conc
pyxis,-,pyxis,190,3,0.42105263157894735,oov,oov,conc-n
clementine,-,clementine,1669,2,0.2857142857142857,oov,oov,conc
flageolet,-,flageolet,137,2,0.17391304347826086,mon,oov,conc
greens,-,green,15901,14,0.11764705882352941,homonyms_only_different_pos,non-met,abs-conc-n
buckeye,-,buckeye,2381,3,0.34782608695652173,oov,oov,conc
kernel,-,kernel,11996,3,0.1111111111111111,poly,oov,abs-conc
barleycorn,-,barleycorn,200,2,0.2,mon,oov,conc
marrow,-,marrow,5359,5,0.1111111111111111,poly,oov,abs-conc
iceberg,-,iceberg,2181,2,0.25,mon,oov,conc
peeler,-,peeler,350,3,0.4444444444444444,homonyms_also_same_pos,oov,conc
spud,-,spud,1041,4,0.14285714285714285,poly,oov,conc
pod,-,pod,8030,6,0.125,homonyms_only_different_pos,oov,abs-conc
filbert,-,filbert,506,2,0.2962962962962963,poly,oov,conc
muscat,-,muscat,3191,4,0.18181818181818182,oov,oov,abs-conc-n
goober,-,goober,197,1,1.0,oov,oov,conc
ham,-,ham,19578,5,0.23529411764705882,homonyms_only_different_pos,non-met,conc-n
veg,-,veg,408,1,1.0,mon,oov,conc
morello,-,morello,1290,2,0.2857142857142857,mon,oov,conc
sultana,-,sultana,1093,2,0.6923076923076923,poly,non-met,conc
kale,-,kale,2429,3,0.10526315789473684,poly,oov,abs-conc
cob,-,cob,1485,4,0.26666666666666666,poly,oov,conc
cayenne,-,cayenne,1130,3,0.16666666666666666,oov,oov,conc
chard,-,chard,1007,2,0.19047619047619047,poly,oov,conc
conker,-,conker,192,1,1.0,mon,oov,conc
tabasco,-,tabasco,1682,3,0.19047619047619047,mon,oov,conc-n
dewberry,-,dewberry,190,2,0.32,oov,oov,conc
chinquapin,-,chinquapin,227,3,0.32,oov,oov,conc
grain,-,grain,31164,15,0.09523809523809523,poly,oov,abs-conc
citron,-,citron,4790,2,0.3076923076923077,poly,oov,conc
mussel,-,mussel,2046,2,0.21052631578947367,mon,non-met,conc
hackberry,-,hackberry,416,2,0.34782608695652173,oov,oov,conc
seed,-,seed,50034,13,0.1111111111111111,homonyms_only_different_pos,met,abs-conc
satsuma,-,satsuma,1892,2,0.2857142857142857,mon,oov,conc
pome,-,pome,389,1,1.0,oov,oov,conc
scallop,-,scallop,886,9,0.10526315789473684,homonyms_only_different_pos,oov,abs-conc
cress,-,cress,538,2,0.19047619047619047,mon,oov,conc
huckleberry,-,huckleberry,1357,3,0.3333333333333333,mon,oov,conc
cocoanut,-,cocoanut,242,1,1.0,oov,oov,conc
mandarin,-,mandarin,12350,6,0.08695652173913043,poly,oov,abs-conc
wintergreen,-,wintergreen,520,3,0.3333333333333333,mon,oov,conc
parsnip,-,parsnip,299,3,0.21052631578947367,poly,oov,conc
sardine,-,sardine,736,4,0.16,poly,oov,abs-conc
ananas,-,ananas,130,2,0.125,oov,oov,abs-conc
chips,-,chip,13806,14,0.08695652173913043,homonyms_only_different_pos,non-met,abs-conc
acorn,-,acorn,3853,1,1.0,mon,oov,conc
sorrel,-,sorrel,844,6,0.16,homonyms_only_different_pos,oov,conc
kiwi,-,kiwi,2758,4,0.34782608695652173,poly,oov,conc
pea,-,pea,9564,3,0.19047619047619047,poly,non-met,conc
yam,-,yam,3415,4,0.2,poly,oov,conc
amaranth,-,amaranth,723,2,0.36363636363636365,oov,oov,conc
squash,-,squash,9187,4,0.1,homonyms_also_same_pos,non-met,abs-conc
chipotle,-,chipotle,482,1,1.0,oov,oov,conc
oyster,-,oyster,7028,4,0.1111111111111111,poly,non-met,abs-conc
oilseed,-,oilseed,319,1,1.0,oov,oov,conc
gherkin,-,gherkin,167,2,0.2857142857142857,mon,oov,conc
legume,-,legume,2581,3,0.21052631578947367,poly,oov,conc
tamarindo,-,tamarindo,127,2,0.34782608695652173,oov,oov,conc
calabash,-,calabash,508,5,0.36363636363636365,poly,oov,conc
crabapple,-,crabapple,312,3,0.3076923076923077,oov,oov,conc
watercress,-,watercress,518,3,0.17391304347826086,mon,oov,conc
cottonseed,-,cottonseed,333,1,1.0,mon,oov,conc
fig,-,fig,6235,4,0.1,poly,non-met,abs-conc-n
sandwich,-,sandwich,10687,3,0.18181818181818182,homonyms_only_different_pos,non-met,conc
linseed,-,linseed,707,1,1.0,mon,oov,conc
soya,-,soya,854,2,0.19047619047619047,oov,oov,conc
rapeseed,-,rapeseed,469,1,1.0,oov,oov,conc
gumbo,-,gumbo,674,4,0.21052631578947367,poly,oov,abs-conc
taro,-,taro,2463,3,0.2,mon,oov,conc
bacon,-,bacon,12982,3,0.23529411764705882,poly,oov,conc-n
flaxseed,-,flaxseed,143,1,1.0,oov,oov,conc
achene,-,achene,540,1,1.0,oov,oov,conc
medlar,-,medlar,179,4,0.3333333333333333,poly,oov,conc
rye,-,rye,7373,3,0.17391304347826086,poly,oov,abs-conc
groundnut,-,groundnut,707,3,0.34782608695652173,mon,oov,conc
honeydew,-,honeydew,650,1,1.0,poly,oov,conc
broccoli,-,broccoli,1397,2,0.2,mon,oov,conc
gourd,-,gourd,1609,3,0.4,poly,oov,conc
lobster,-,lobster,3817,2,0.2,poly,oov,conc
durian,-,durian,768,2,0.3333333333333333,oov,oov,conc
cumin,-,cumin,644,2,0.36363636363636365,poly,oov,conc
damson,-,damson,194,1,0.8333333333333334,poly,oov,conc
veggie,-,veggie,347,1,1.0,oov,oov,conc
drupe,-,drupe,641,1,1.0,mon,oov,conc
fries,-,fry,3343,6,0.2,homonyms_only_different_pos,non-met,conc-n
rutabaga,-,rutabaga,144,2,0.18181818181818182,oov,oov,conc
bilberry,-,bilberry,308,3,0.3333333333333333,poly,oov,conc
mulberry,-,mulberry,3276,2,0.32,poly,oov,conc
cauliflower,-,cauliflower,801,2,0.2,poly,oov,conc
crab,-,crab,8586,11,0.09090909090909091,homonyms_also_same_pos,oov,abs-conc-n
aubergine,-,aubergine,218,2,0.21052631578947367,mon,non-met,conc
butternut,-,butternut,434,2,0.2962962962962963,oov,oov,conc
gooseberry,-,gooseberry,630,2,0.3333333333333333,poly,oov,conc
berry,-,berry,20292,4,0.3333333333333333,poly,non-met,conc-n
tater,-,tater,166,1,1.0,oov,oov,conc
shrimp,-,shrimp,7445,4,0.21052631578947367,poly,oov,conc
tangerine,-,tangerine,1973,4,0.08,poly,oov,abs-conc
turnip,-,turnip,847,2,0.19047619047619047,poly,oov,conc
fennel,-,fennel,680,4,0.2,mon,oov,conc
quince,-,quince,932,2,0.3333333333333333,mon,oov,conc
elderberry,-,elderberry,279,2,0.34782608695652173,mon,oov,conc
breadfruit,-,breadfruit,524,2,0.3333333333333333,poly,oov,conc
jam,-,jam,23933,11,0.1,homonyms_also_same_pos,non-met,abs-conc
rambutan,-,rambutan,227,2,0.3333333333333333,oov,oov,conc
blackberry,-,blackberry,4162,3,0.3333333333333333,poly,oov,conc
jujube,-,jujube,225,3,0.18181818181818182,mon,oov,conc
walnut,-,walnut,8905,3,0.19047619047619047,poly,oov,abs-conc
pomelo,-,pomelo,222,2,0.3076923076923077,oov,oov,conc
olive,-,olive,22573,6,0.09090909090909091,poly,non-met,abs-conc
beetroot,-,beetroot,334,2,0.19047619047619047,poly,oov,conc
lentil,-,lentil,457,3,0.19047619047619047,mon,oov,conc
rice,-,rice,65319,5,0.19047619047619047,poly,non-met,conc-n
mushroom,-,mushroom,8875,7,0.2,homonyms_only_different_pos,non-met,conc
scallion,-,scallion,219,2,0.19047619047619047,mon,oov,conc
kumquat,-,kumquat,108,2,0.3076923076923077,mon,oov,conc
zucchini,-,zucchini,372,2,0.17391304347826086,mon,oov,conc
wines,-,wine,15960,4,0.2,homonyms_only_different_pos,non-met,abs
plantain,-,plantain,1273,3,0.21052631578947367,homonyms_also_same_pos,oov,conc
serviceberry,-,serviceberry,133,2,0.34782608695652173,oov,oov,conc
pigweed,-,pigweed,106,3,0.2,oov,oov,conc
doughnut,-,doughnut,1292,2,0.125,mon,oov,abs-conc
chicory,-,chicory,370,4,0.2,poly,oov,abs-conc
tamarind,-,tamarind,1084,2,0.34782608695652173,poly,oov,conc
persimmon,-,persimmon,693,2,0.32,poly,oov,conc
artichoke,-,artichoke,557,2,0.21052631578947367,poly,non-met,conc
truffle,-,truffle,706,3,0.2222222222222222,poly,oov,conc
shallot,-,shallot,209,3,0.18181818181818182,mon,oov,conc
soy,-,soy,4929,4,0.18181818181818182,mon,oov,conc
cashew,-,cashew,1151,2,0.3076923076923077,poly,oov,conc
loquat,-,loquat,150,2,0.3333333333333333,poly,oov,conc
beet,-,beet,2546,2,0.2,poly,oov,conc
donuts,-,donut,1324,1,1.0,oov,oov,conc
cantaloupe,-,cantaloupe,287,2,0.3076923076923077,oov,oov,conc
okra,-,okra,575,3,0.21052631578947367,mon,oov,conc
chickpea,-,chickpea,361,3,0.19047619047619047,poly,oov,conc
litchi,-,litchi,204,2,0.3333333333333333,mon,oov,conc
soybean,-,soybean,2398,3,0.18181818181818182,mon,oov,conc
yoghurt,-,yoghurt,432,1,0.875,mon,oov,conc
mangosteen,-,mangosteen,201,2,0.3333333333333333,poly,oov,conc
cranberry,-,cranberry,1840,2,0.36363636363636365,poly,oov,conc
currant,-,currant,542,3,0.3333333333333333,poly,non-met,conc
nut,-,nut,7680,8,0.09523809523809523,homonyms_only_different_pos,met,abs-conc-n
chilli,-,chilli,1039,1,1.0,poly,oov,conc
corn,-,corn,25435,9,0.08695652173913043,homonyms_also_same_pos,non-met,abs-conc
spinach,-,spinach,1607,2,0.2,mon,oov,conc
lychee,-,lychee,329,1,0.8181818181818182,poly,oov,conc
mustard,-,mustard,5728,3,0.19047619047619047,poly,non-met,conc
pimento,-,pimento,129,2,0.17391304347826086,poly,oov,conc
radish,-,radish,799,5,0.19047619047619047,poly,oov,conc
lime,-,lime,13357,8,0.17391304347826086,homonyms_also_same_pos,oov,abs-conc
nectarine,-,nectarine,101,2,0.3333333333333333,mon,oov,conc
jackfruit,-,jackfruit,457,2,0.3333333333333333,oov,oov,conc
carrot,-,carrot,2821,4,0.09523809523809523,poly,non-met,abs-conc
peas,-,pea,4728,3,0.19047619047619047,poly,non-met,conc
papaya,-,papaya,1259,2,0.3333333333333333,poly,oov,conc
pomegranate,-,pomegranate,1373,2,0.3333333333333333,poly,oov,conc
pawpaw,-,pawpaw,271,3,0.32,mon,oov,conc
pecan,-,pecan,1102,3,0.19047619047619047,poly,oov,abs-conc
hazelnut,-,hazelnut,522,2,0.3076923076923077,oov,oov,conc
puddings,-,pudding,481,3,0.7058823529411765,poly,non-met,conc
liquorice,-,liquorice,494,2,0.2,poly,oov,conc
lemons,-,lemon,1714,5,0.08,poly,non-met,abs-conc
raisin,-,raisin,1328,1,0.75,mon,non-met,conc
carob,-,carob,350,3,0.21052631578947367,poly,oov,conc
syrups,-,syrup,405,1,1.0,poly,oov,conc
soups,-,soup,2062,4,0.13333333333333333,poly,oov,abs-conc
flavorings,-,flavoring,494,2,None,oov,oov,conc
wine,-,wine,72076,4,0.2,homonyms_only_different_pos,non-met,abs
enchiladas,-,enchiladas,135,1,1.0,oov,oov,conc
pepper,-,pepper,14198,6,0.2,homonyms_only_different_pos,oov,conc
beef,-,beef,14145,4,0.07692307692307693,homonyms_only_different_pos,oov,abs-conc
scones,-,scone,189,1,1.0,mon,non-met,conc
pistachio,-,pistachio,469,2,0.3076923076923077,poly,oov,conc
ginger,-,ginger,8122,6,0.1111111111111111,homonyms_only_different_pos,oov,abs-conc
cassava,-,cassava,2891,3,0.19047619047619047,poly,oov,abs-conc
chili,-,chili,6877,2,0.3157894736842105,oov,oov,conc
chicken,-,chicken,23318,5,0.1,homonyms_only_different_pos,non-met,abs-conc
cornmeal,-,cornmeal,520,1,1.0,oov,oov,conc
biscuits,-,biscuit,3178,2,0.7058823529411765,poly,non-met,conc
fenugreek,-,fenugreek,230,2,0.21052631578947367,oov,oov,conc
aperitif,-,aperitif,112,1,1.0,mon,non-met,abs
pistachios,-,pistachio,309,2,0.3076923076923077,poly,oov,conc
yogurts,-,yogurt,124,1,0.875,oov,oov,conc
spiciness,-,spiciness,137,2,0.42857142857142855,oov,oov,abs
seasonings,-,seasoning,682,5,0.11764705882352941,poly,oov,abs-conc
pastries,-,pastry,1432,2,0.375,poly,non-met,conc
eggplant,-,eggplant,940,2,0.21052631578947367,poly,oov,conc
cereal,-,cereal,5197,4,0.21052631578947367,poly,oov,conc
bean,-,bean,12162,5,0.2,poly,met non-met,conc
aniseed,-,aniseed,210,1,1.0,mon,oov,conc
noodles,-,noodle,3387,2,0.25,mon,oov,conc
pastry,-,pastry,4000,2,0.375,poly,non-met,conc
marinades,-,marinade,111,2,None,poly,oov,conc
sauerkraut,-,sauerkraut,558,1,1.0,mon,oov,conc
mangoes,-,mango,1104,2,0.3333333333333333,poly,oov,conc
atole,-,atole,150,1,1.0,oov,oov,conc
vinegar,-,vinegar,3926,2,0.2857142857142857,mon,oov,abs-conc
lemonade,-,lemonade,1602,1,1.0,poly,non-met,abs
vinaigrette,-,vinaigrette,113,1,1.0,mon,oov,conc
vegetable,-,vegetable,11793,2,0.23529411764705882,homonyms_only_different_pos,non-met,conc
lettuce,-,lettuce,2192,3,0.1111111111111111,poly,oov,abs-conc
currants,-,currant,344,3,0.3333333333333333,poly,non-met,conc
pecans,-,pecan,275,3,0.19047619047619047,poly,oov,abs-conc
asparagus,-,asparagus,1431,2,0.2222222222222222,mon,oov,conc
pepperoni,-,pepperoni,173,1,1.0,oov,oov,conc
juices,-,juice,1969,4,0.1111111111111111,homonyms_only_different_pos,non-met,abs-conc
raspberries,-,raspberry,749,3,0.10526315789473684,poly,oov,abs-conc
tofu,-,tofu,1541,1,1.0,oov,oov,conc
carrots,-,carrot,2038,4,0.09523809523809523,poly,non-met,abs-conc
shallots,-,shallot,295,3,0.18181818181818182,mon,oov,conc
flavours,-,flavour,2035,4,0.23529411764705882,homonyms_only_different_pos,non-met,abs
bulgur,-,bulgur,116,1,1.0,oov,oov,conc
biscuit,-,biscuit,3219,2,0.7058823529411765,poly,non-met,conc
fritters,-,fritter,273,2,None,mon,oov,conc
cilantro,-,cilantro,309,2,0.2,oov,oov,conc
cider,-,cider,3871,1,1.0,poly,non-met,abs
peaches,-,peach,3166,5,0.09090909090909091,homonyms_only_different_pos,oov,abs-conc
sweets,-,sweet,4339,16,0.1111111111111111,homonyms_only_different_pos,met non-met,abs-conc-n
sauteed,-,sauteed,181,2,None,oov,oov,-
liqueur,-,liqueur,1332,1,1.0,mon,oov,abs
onion,-,onion,6518,3,0.2,poly,oov,conc
avocado,-,avocado,1305,3,0.3333333333333333,mon,oov,conc
cookies,-,cookie,4134,3,0.125,poly,oov,abs-conc
soup,-,soup,12179,4,0.13333333333333333,poly,oov,abs-conc
salads,-,salad,1579,1,1.0,poly,non-met,conc
shiitake,-,shiitake,194,1,1.0,oov,oov,conc
bananas,-,banana,5137,2,0.38095238095238093,mon,oov,conc
balsamic,-,balsamic,161,1,1.0,oov,oov,-
milk,-,milk,42123,7,0.2,homonyms_only_different_pos,non-met,abs-conc-n
peanuts,-,peanut,4471,5,0.3333333333333333,poly,oov,conc
rhubarb,-,rhubarb,903,2,0.2222222222222222,poly,oov,conc
condiments,-,condiment,792,1,1.0,mon,oov,conc
cabbage,-,cabbage,4316,4,0.10526315789473684,poly,oov,abs-conc
candies,-,candy,1673,2,None,homonyms_only_different_pos,oov,conc
pie,-,pie,11835,2,0.13333333333333333,poly,non-met,abs-conc
sorbet,-,sorbet,180,1,1.0,mon,oov,conc
coffee,-,coffee,42783,4,0.1,poly,non-met,abs-conc
bread,-,bread,24007,3,0.13333333333333333,poly,non-met,abs-conc
hazelnuts,-,hazelnut,418,2,0.3076923076923077,oov,oov,conc
melons,-,melon,871,2,0.36363636363636365,poly,oov,conc
apricots,-,apricot,689,3,0.09090909090909091,poly,oov,abs-conc
snack,-,snack,5025,2,None,homonyms_only_different_pos,oov,conc
flavor,-,flavor,11305,4,0.23529411764705882,oov,oov,abs
almond,-,almond,4248,2,0.32,poly,oov,conc
cherry,-,cherry,22512,5,0.09090909090909091,homonyms_only_different_pos,oov,abs-conc
galangal,-,galangal,164,2,0.6956521739130435,oov,oov,conc
onions,-,onion,4692,3,0.2,poly,oov,conc
cucumber,-,cucumber,2071,2,0.2,poly,oov,conc
cinnamon,-,cinnamon,4645,3,0.17391304347826086,homonyms_only_different_pos,oov,conc
sauces,-,sauce,2120,4,0.3333333333333333,homonyms_only_different_pos,non-met,conc
mayonnaise,-,mayonnaise,1076,1,1.0,poly,oov,conc
allspice,-,allspice,232,3,0.17391304347826086,mon,oov,conc
sausage,-,sausage,4194,2,0.2,poly,non-met,conc
quesadillas,-,quesadilla,124,1,1.0,oov,oov,conc
cherries,-,cherry,1959,5,0.09090909090909091,homonyms_only_different_pos,oov,abs-conc
oranges,-,orange,3774,6,0.09090909090909091,homonyms_only_different_pos,non-met,abs-conc-n
blueberry,-,blueberry,2067,2,0.34782608695652173,mon,oov,conc
salad,-,salad,4621,1,1.0,poly,non-met,conc
mamey,-,mamey,115,2,0.3333333333333333,oov,oov,conc
maraschino,-,maraschino,155,2,0.5555555555555556,poly,oov,abs-conc
pies,-,pie,2659,2,0.13333333333333333,poly,non-met,abs-conc
peach,-,peach,6726,5,0.09090909090909091,homonyms_only_different_pos,oov,abs-conc
candy,-,candy,16606,2,None,homonyms_only_different_pos,oov,conc
caramel,-,caramel,1591,4,0.1,poly,oov,abs-conc
pork,-,pork,9775,2,0.125,mon,non-met,abs-conc
apples,-,apple,11956,2,0.32,poly,non-met,conc
apple,-,apple,48472,2,0.32,poly,non-met,conc
lingonberry,-,lingonberry,100,2,0.3333333333333333,oov,oov,conc
berries,-,berry,5586,4,0.3333333333333333,poly,non-met,conc-n
sapodilla,-,sapodilla,124,2,0.3333333333333333,oov,oov,conc
melon,-,melon,2295,2,0.36363636363636365,poly,oov,conc
ketchup,-,ketchup,1311,1,1.0,mon,non-met,conc
celery,-,celery,1209,2,0.2222222222222222,poly,oov,conc
citrus,-,citrus,8613,2,0.3333333333333333,homonyms_only_different_pos,non-met,conc
grapefruit,-,grapefruit,1273,2,0.3076923076923077,mon,oov,conc
plums,-,plum,1199,5,0.09090909090909091,poly,oov,abs-conc
mango,-,mango,5074,2,0.3333333333333333,poly,oov,conc
pear,-,pear,4366,2,0.3333333333333333,mon,non-met,conc
honey,-,honey,19774,4,0.25,poly,met,conc
yogurt,-,yogurt,2506,1,0.875,oov,oov,conc
puree,-,puree,169,2,None,homonyms_only_different_pos,non-met,conc
guava,-,guava,947,3,0.3333333333333333,poly,oov,conc
desserts,-,dessert,2309,1,1.0,mon,oov,conc
apricot,-,apricot,1446,3,0.09090909090909091,poly,oov,abs-conc
raisins,-,raisin,1444,1,0.75,mon,non-met,conc
banana,-,banana,10769,2,0.38095238095238093,mon,oov,conc
chives,-,chive,293,1,1.0,poly,oov,conc
raspberry,-,raspberry,3078,3,0.10526315789473684,poly,oov,abs-conc
pumpkin,-,pumpkin,3575,2,0.21052631578947367,poly,oov,conc
fruits,-,fruit,23163,5,0.1111111111111111,homonyms_only_different_pos,non-met,abs-conc
almonds,-,almond,1902,2,0.32,poly,oov,conc
sugar,-,sugar,59056,4,0.1111111111111111,homonyms_only_different_pos,non-met,abs-conc
walnuts,-,walnut,1085,3,0.19047619047619047,poly,oov,abs-conc
strawberries,-,strawberry,1991,3,0.1111111111111111,poly,oov,abs-conc
flavors,-,flavor,5521,4,0.23529411764705882,oov,oov,abs
chutneys,-,chutney,153,1,1.0,mon,oov,conc
custard,-,custard,1600,1,1.0,poly,oov,conc
vanilla,-,vanilla,4623,5,0.08333333333333333,poly,oov,abs-conc
cake,-,cake,13460,4,0.26666666666666666,homonyms_only_different_pos,met non-met,conc
watermelon,-,watermelon,1702,2,0.3333333333333333,mon,oov,conc
garlic,-,garlic,5186,2,0.19047619047619047,mon,non-met,conc
pudding,-,pudding,3422,3,0.7058823529411765,poly,non-met,conc
coconut,-,coconut,10927,3,0.21052631578947367,poly,oov,conc
soursop,-,soursop,100,2,0.3076923076923077,oov,oov,conc
grapes,-,grape,11643,3,0.34782608695652173,poly,oov,conc
cheese,-,cheese,21839,4,0.2222222222222222,poly,non-met,conc
cakes,-,cake,4849,4,0.26666666666666666,homonyms_only_different_pos,met non-met,conc
beans,-,bean,12600,5,0.2,poly,met non-met,conc
vegetables,-,vegetable,17635,2,0.23529411764705882,homonyms_only_different_pos,non-met,conc
cream,-,cream,29383,8,0.125,homonyms_only_different_pos,non-met,abs-conc
grape,-,grape,14592,3,0.34782608695652173,poly,oov,conc
pineapple,-,pineapple,3462,2,0.38095238095238093,poly,oov,conc
potatoes,-,potato,9650,2,0.2222222222222222,poly,non-met,conc
butter,-,butter,11341,3,0.3333333333333333,homonyms_only_different_pos,non-met,conc
lemon,-,lemon,10273,5,0.08,poly,non-met,abs-conc
strawberry,-,strawberry,7232,3,0.1111111111111111,poly,oov,abs-conc
potato,-,potato,11670,2,0.2222222222222222,poly,non-met,conc
sauce,-,sauce,11296,4,0.3333333333333333,homonyms_only_different_pos,non-met,conc
syrup,-,syrup,4860,1,1.0,poly,oov,conc
juice,-,juice,12735,4,0.1111111111111111,homonyms_only_different_pos,non-met,abs-conc
peanut,-,peanut,4305,5,0.3333333333333333,poly,oov,conc
dessert,-,dessert,4305,1,1.0,mon,oov,conc
chocolate,-,chocolate,19564,3,0.13333333333333333,homonyms_only_different_pos,non-met,abs-conc
fruit,-,fruit,59986,5,0.1111111111111111,homonyms_only_different_pos,non-met,abs-conc
tomato,,tomato,5831,2,0.21052631578947367,poly,non-met,conc
recorder,2,recorder,11384,4,0.36363636363636365,poly,non-met,conc
football,2,football,719207,2,0.1,poly,non-met,abs-conc
tyre,3,tyre,7024,2,0.35294117647058826,poly,non-met,conc-n
bus,2,bus,129573,7,0.10526315789473684,homonyms_only_different_pos,non-met,abs-conc
crypt,-,crypt,7106,1,0.8181818181818182,mon,oov,conc
jeeps,-,jeep,1452,1,1.0,mon,oov,conc
miner,-,miner,7798,1,1.0,poly,oov,conc
leafs,-,leafs,8730,6,0.25,oov,oov,abs-conc
cannon,-,cannon,29118,8,0.09090909090909091,homonyms_only_different_pos,oov,abs-conc
blackboard,-,blackboard,1243,1,1.0,mon,oov,conc
wines,-,wine,15960,4,0.2,homonyms_only_different_pos,non-met,abs
beets,-,beet,1374,2,0.2,poly,oov,conc
coal,-,coal,87631,5,0.18181818181818182,homonyms_only_different_pos,oov,conc
elm,-,elm,10141,2,0.21052631578947367,poly,oov,abs-conc
ambulance,-,ambulance,15418,1,1.0,mon,non-met,conc
fir,-,fir,7722,2,0.19047619047619047,poly,oov,abs-conc
limes,-,lime,1536,8,0.17391304347826086,homonyms_also_same_pos,oov,abs-conc
brick,-,brick,66010,2,0.5,poly,non-met,conc
beet,-,beet,2546,2,0.2,poly,oov,conc
clarinet,-,clarinet,9397,1,1.0,mon,oov,conc
tank,-,tank,77579,8,0.11764705882352941,poly,non-met,abs-conc
tar,-,tar,9890,3,0.21052631578947367,homonyms_only_different_pos,non-met,abs-conc
world,-,world,1622378,9,0.1,poly,met non-met,abs-conc-n
tomatoes,-,tomato,17974,2,0.21052631578947367,poly,non-met,conc
piano,-,piano,93430,4,0.11764705882352941,homonyms_only_different_pos,non-met,abs-conc
tires,-,tire,10107,5,0.15384615384615385,homonyms_only_different_pos,oov,conc
suit,-,suit,53572,10,0.1111111111111111,homonyms_only_different_pos,met non-met,abs-conc
wine,-,wine,72076,4,0.2,homonyms_only_different_pos,non-met,abs
artichokes,-,artichoke,267,2,0.21052631578947367,poly,non-met,conc
cider,-,cider,3871,1,1.0,poly,non-met,abs
cricket,-,cricket,121039,3,0.08695652173913043,homonyms_also_same_pos,non-met,abs-conc
cars,-,car,145951,5,0.47619047619047616,poly,non-met,conc
barn,-,barn,22098,2,0.125,poly,met,abs-conc
pot,-,pot,16449,10,0.09523809523809523,homonyms_only_different_pos,non-met,abs-conc
car,-,car,294557,5,0.47619047619047616,poly,non-met,conc
rice,-,rice,65319,5,0.19047619047619047,poly,non-met,conc-n
pit,-,pit,36018,14,0.1111111111111111,homonyms_also_same_pos,non-met,abs-conc
grape,-,grape,14592,3,0.34782608695652173,poly,oov,conc
pyramid,-,pyramid,17132,7,0.125,poly,met,abs-n
taxi,-,taxi,18419,3,0.25,homonyms_only_different_pos,non-met,conc
lawn,-,lawn,14438,1,1.0,homonyms_also_same_pos,non-met,conc
sandpaper,-,sandpaper,482,2,None,homonyms_only_different_pos,oov,abs
aubergine,-,aubergine,218,2,0.21052631578947367,mon,non-met,conc
cheese,-,cheese,21839,4,0.2222222222222222,poly,non-met,conc
jeep,-,jeep,5546,1,1.0,mon,oov,conc
bloodstone,-,bloodstone,523,1,1.0,oov,oov,abs
truffles,-,truffle,627,3,0.2222222222222222,poly,oov,conc
beer,-,beer,40202,1,1.0,poly,non-met,abs
moss,-,moss,19891,1,1.0,poly,oov,conc
wand,-,wand,2909,4,0.1111111111111111,mon,oov,abs-conc
limousine,-,limousine,2816,1,1.0,mon,oov,conc
couch,-,couch,5000,4,0.47619047619047616,homonyms_only_different_pos,oov,abs-conc
humans,-,human,86390,4,None,homonyms_only_different_pos,non-met,conc
oven,-,oven,5535,1,1.0,poly,non-met,conc
beetroot,-,beetroot,334,2,0.19047619047619047,poly,oov,conc
coffee,-,coffee,42783,4,0.1,poly,non-met,abs-conc
gherkin,-,gherkin,167,2,0.2857142857142857,mon,oov,conc
heart,-,heart,185139,10,0.11764705882352941,poly,met non-met,abs-conc
nightmare,-,nightmare,9318,2,0.2222222222222222,poly,met non-met,abs
avocado,-,avocado,1305,3,0.3333333333333333,mon,oov,conc
spinach,-,spinach,1607,2,0.2,mon,oov,conc
pears,-,pear,2484,2,0.3333333333333333,mon,non-met,conc
corn,-,corn,25435,9,0.08695652173913043,homonyms_also_same_pos,non-met,abs-conc
peas,-,pea,4728,3,0.19047619047619047,poly,non-met,conc
jam,-,jam,23933,11,0.1,homonyms_also_same_pos,non-met,abs-conc
celery,-,celery,1209,2,0.2222222222222222,poly,oov,conc
broccoli,-,broccoli,1397,2,0.2,mon,oov,conc
apples,-,apple,11956,2,0.32,poly,non-met,conc
locust,-,locust,3699,3,0.18181818181818182,poly,oov,abs-conc
sycamore,-,sycamore,3138,4,0.19047619047619047,poly,non-met,abs-conc
berry,-,berry,20292,4,0.3333333333333333,poly,non-met,conc-n
tongue,-,tongue,22392,10,0.10526315789473684,poly,non-met,abs-conc
