concept,manual_coarse_grained,lemma,wiki_frequency,n_wn_senses,min_wn_sim_wup,poly_type,mipvu_met,wn_abs_conc
bodices,-,bodice,120,1,1.0,mon,oov,conc
glove,-,glove,6245,3,0.5263157894736842,poly,non-met,conc
wigs,-,wig,1504,2,0.10526315789473684,mon,oov,abs-conc
galoshes,-,galosh,100,1,1.0,mon,oov,conc
flannel,-,flannel,745,3,0.5454545454545454,homonyms_only_different_pos,oov,conc
woollen,-,woollen,2103,2,None,poly,oov,conc
epaulets,-,epaulet,200,1,1.0,mon,oov,conc
booties,-,bootie,108,1,1.0,oov,oov,conc
vests,-,vest,1755,7,0.2,homonyms_only_different_pos,oov,conc
cheesecloth,-,cheesecloth,113,1,1.0,poly,oov,conc
brogues,-,brogue,100,1,1.0,homonyms_also_same_pos,oov,conc
chemise,-,chemise,220,2,0.7272727272727273,mon,oov,conc
cloaks,-,cloak,810,5,0.25,homonyms_only_different_pos,non-met,conc
cincture,-,cincture,104,1,1.0,mon,oov,conc
bandanas,-,bandana,133,1,1.0,oov,oov,conc
collars,-,collar,2152,12,0.1,homonyms_only_different_pos,non-met,abs-conc
outerwear,-,outerwear,386,1,1.0,oov,oov,conc
jumpsuit,-,jumpsuit,576,1,1.0,oov,oov,conc
taffeta,-,taffeta,181,1,1.0,mon,non-met,conc
pajamas,-,pajama,779,2,0.7619047619047619,mon,oov,conc
chiffon,-,chiffon,391,1,1.0,mon,non-met,conc
wool,-,wool,15066,3,0.21052631578947367,poly,non-met,abs-conc
footwear,-,footwear,4290,2,0.8,mon,oov,conc
undergarment,-,undergarment,309,1,1.0,mon,oov,conc
hairstyle,-,hairstyle,1999,1,1.0,oov,oov,conc
spandex,-,spandex,459,1,1.0,oov,oov,conc
shoelaces,-,shoelace,241,1,1.0,mon,oov,conc
leotard,-,leotard,384,1,1.0,mon,oov,conc
miniskirt,-,miniskirt,247,1,1.0,oov,oov,conc
deerskin,-,deerskin,214,1,1.0,oov,oov,abs
corset,-,corset,1110,2,None,mon,oov,conc
shoulders,-,shoulder,10740,8,0.21052631578947367,homonyms_only_different_pos,met non-met,conc
kimonos,-,kimono,213,1,1.0,mon,oov,conc
bathrobe,-,bathrobe,160,1,1.0,poly,oov,conc
mortarboard,-,mortarboard,116,2,0.5555555555555556,mon,oov,conc
flannels,-,flannel,126,3,0.5454545454545454,homonyms_only_different_pos,oov,conc
forelock,-,forelock,106,2,0.8421052631578947,poly,oov,conc
outfits,-,outfit,5528,4,0.125,homonyms_only_different_pos,non-met,abs-conc
lace,-,lace,6235,7,0.18181818181818182,homonyms_only_different_pos,met non-met,conc
suits,-,suit,13660,10,0.1111111111111111,homonyms_only_different_pos,met non-met,abs-conc
coveralls,-,coverall,189,1,1.0,oov,oov,conc
calfskin,-,calfskin,108,1,1.0,mon,oov,abs
salwar,-,salwar,242,1,1.0,oov,oov,conc
headgear,-,headgear,1829,3,0.5555555555555556,mon,oov,conc
towels,-,towel,1276,2,None,homonyms_only_different_pos,oov,conc
wearer,-,wearer,2630,1,0.6666666666666666,oov,non-met,conc
goggles,-,goggle,1845,1,1.0,mon,non-met,-
turban,-,turban,2029,2,0.8181818181818182,poly,oov,conc
sheepskin,-,sheepskin,427,3,0.21052631578947367,poly,oov,abs
anklets,-,anklet,226,3,0.47619047619047616,mon,oov,conc
garters,-,garter,237,2,None,poly,oov,conc
neckerchief,-,neckerchief,262,1,1.0,mon,oov,conc
frock,-,frock,773,3,0.7619047619047619,poly,oov,conc
ponchos,-,poncho,137,1,1.0,poly,oov,conc
coats,-,coat,8404,6,0.2222222222222222,homonyms_only_different_pos,met non-met,conc
denim,-,denim,1990,2,0.5882352941176471,mon,oov,conc
cassock,-,cassock,528,1,1.0,mon,oov,conc
parka,-,parka,1051,1,1.0,poly,oov,conc
blankets,-,blanket,3361,6,0.2857142857142857,homonyms_only_different_pos,non-met,conc
pyjamas,-,pyjama,446,2,0.7619047619047619,mon,oov,conc
skirts,-,skirt,4770,8,0.2,homonyms_only_different_pos,non-met,conc
tunics,-,tunic,710,2,0.2,poly,non-met,conc
leotards,-,leotard,181,1,1.0,mon,oov,conc
kerchief,-,kerchief,152,1,1.0,mon,oov,conc
breeches,-,breech,1394,1,1.0,mon,oov,conc
earmuffs,-,earmuff,140,1,1.0,mon,oov,conc
turtleneck,-,turtleneck,206,1,0.9166666666666666,poly,oov,conc
overalls,-,overall,789,4,0.7619047619047619,homonyms_only_different_pos,non-met,conc
uniforms,-,uniform,19263,6,None,homonyms_only_different_pos,met non-met,conc
earrings,-,earring,1789,1,1.0,mon,oov,conc
nightgown,-,nightgown,238,1,0.9230769230769231,oov,oov,conc
shalwar,-,shalwar,300,1,1.0,oov,oov,conc
vest,-,vest,4990,7,0.2,homonyms_only_different_pos,oov,conc
greatcoat,-,greatcoat,105,1,1.0,poly,oov,conc
headdress,-,headdress,1688,1,1.0,mon,oov,conc
jeans,-,jean,6584,2,0.5882352941176471,oov,non-met,conc
linen,-,linen,5638,3,0.25,poly,oov,abs-conc
cuffs,-,cuff,1315,4,0.18181818181818182,homonyms_also_same_pos,non-met,conc
straps,-,strap,2934,8,0.2,homonyms_only_different_pos,non-met,conc
bodice,-,bodice,502,1,1.0,mon,oov,conc
